filename,extension,size_kb
text_classfication.csv,csv,84.8
ticdata.csv,csv,5712.1
titanic.csv,csv,59.8
top-5000-youtube-channels.csv,csv,251.7
tourists.csv,csv,1.0
treatment.csv,csv,2.5
trend_stationary.csv,csv,5.1
usedcars.csv,csv,4.8
user_orders_hourofday.csv,csv,19806.9
wineind.csv,csv,3.1
winequality-white.csv,csv,263.0
wisc_bc_data.csv,csv,123.4
world_bank.csv,csv,198.6
wwwusage.csv,csv,0.5
yahoo.csv,csv,182.6
yahoo_close.csv,csv,49.8
